=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769736467
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
543.622	192.762	0.101	0.997237	0.010238	9.31134e-05	1.69606	6.48316e-12	-1.25879	6.24145e-12	-1.33598	0.998935	0.00961054	9.25611e-05	1.63087	6.11613e-12	-1.45454	6.27958e-12	-1.3374
567.485	194.671	0.102	0.997161	0.0105816	9.97704e-05	1.69555	7.96098e-12	-1.26116	7.68372e-12	-1.33414	0.998859	0.00994509	9.91355e-05	1.63298	7.53327e-12	-1.44574	7.72866e-12	-1.33545
593.711	196.579	0.103	0.997077	0.0109449	0.000107072	1.69523	9.79972e-12	-1.26296	9.48069e-12	-1.33193	0.998776	0.0102991	0.00010634	1.6352	9.29982e-12	-1.43693	9.53387e-12	-1.33313
619.256	198.488	0.104	0.996985	0.0113299	0.000115101	1.69509	1.20959e-11	-1.26417	1.17275e-11	-1.32931	0.998685	0.0106744	0.000114257	1.63757	1.15097e-11	-1.42804	1.17907e-11	-1.3304
645.72	200.396	0.105	0.996883	0.0117385	0.000123954	1.69516	1.49745e-11	-1.2648	1.45477e-11	-1.32627	0.998585	0.011073	0.000122979	1.64008	1.42849e-11	-1.41906	1.46232e-11	-1.32727
668.808	202.305	0.106	0.996771	0.0121731	0.000133746	1.69544	1.85988e-11	-1.26482	1.81024e-11	-1.32278	0.998474	0.0114972	0.000132617	1.64275	1.77845e-11	-1.40993	1.8193e-11	-1.3237
695.257	204.214	0.107	0.996646	0.0126364	0.000144609	1.69596	2.31829e-11	-1.26422	2.26032e-11	-1.31883	0.998351	0.0119495	0.000143301	1.64561	2.22176e-11	-1.40061	2.27124e-11	-1.31967
719.194	206.122	0.108	0.996507	0.0131313	0.000156702	1.69673	2.901e-11	-1.26297	2.83299e-11	-1.31438	0.998214	0.012433	0.000155182	1.64866	2.7861e-11	-1.39105	2.84625e-11	-1.31514
741.999	208.031	0.109	0.996352	0.0136613	0.000170211	1.69777	3.64573e-11	-1.26105	3.56557e-11	-1.30939	0.998061	0.0129509	0.000168444	1.65194	3.50833e-11	-1.3812	3.58175e-11	-1.31008
770.402	209.939	0.11	0.996178	0.0142305	0.000185362	1.69912	4.60312e-11	-1.25841	4.50813e-11	-1.30382	0.99789	0.0135073	0.000183302	1.65546	4.438e-11	-1.37099	4.52801e-11	-1.30444
794.447	211.848	0.111	0.995983	0.0148433	0.000202423	1.70079	5.84175e-11	-1.25501	5.72857e-11	-1.2976	0.997697	0.0141064	0.000200017	1.65926	5.64227e-11	-1.36037	5.75316e-11	-1.29817
817.151	213.756	0.112	0.995761	0.015505	0.000221724	1.70282	7.45537e-11	-1.25078	7.31969e-11	-1.29068	0.99748	0.0147535	0.000218906	1.66337	7.21299e-11	-1.34925	7.35034e-11	-1.29119
842.397	215.665	0.113	0.995509	0.0162219	0.000243662	1.70526	9.57343e-11	-1.24566	9.4097e-11	-1.28298	0.997232	0.0154547	0.000240353	1.66783	9.27706e-11	-1.33754	9.44819e-11	-1.28344
865.073	217.573	0.114	0.995221	0.0170013	0.000268729	1.70815	1.23766e-10	-1.23956	1.21776e-10	-1.2744	0.99695	0.016217	0.00026483	1.67269	1.20118e-10	-1.32515	1.22264e-10	-1.27482
888.891	219.482	0.115	0.994891	0.0178516	0.000297537	1.71154	1.61203e-10	-1.23238	1.58764e-10	-1.26485	0.996626	0.0170488	0.000292924	1.67799	1.56677e-10	-1.31195	1.59387e-10	-1.26522
914.509	221.39	0.116	0.994508	0.0187833	0.000330848	1.71552	2.11696e-10	-1.22399	2.08683e-10	-1.25418	0.996252	0.01796	0.000325369	1.68382	2.06036e-10	-1.29781	2.09487e-10	-1.25451
939.474	223.299	0.117	0.994063	0.0198084	0.000369632	1.72015	2.80549e-10	-1.21423	2.76789e-10	-1.24224	0.995817	0.0189625	0.000363089	1.69025	2.73405e-10	-1.28255	2.77838e-10	-1.24253
964.05	225.207	0.118	0.99354	0.0209418	0.000415126	1.72553	3.75578e-10	-1.20291	3.70836e-10	-1.22883	0.995307	0.0200705	0.000407269	1.69737	3.66471e-10	-1.26598	3.72221e-10	-1.22909
986.78	227.116	0.119	0.992922	0.0222015	0.000468936	1.7318	5.08504e-10	-1.1898	5.02453e-10	-1.21371	0.994705	0.0213015	0.000459438	1.70531	4.96763e-10	-1.24784	5.04305e-10	-1.21394
1009.53	229.025	0.12	0.992185	0.0236096	0.000533169	1.7391	6.9724e-10	-1.1746	6.89416e-10	-1.19658	0.993988	0.0226769	0.0005216	1.71422	6.81913e-10	-1.22783	6.91927e-10	-1.19678
1033.76	230.933	0.121	0.991295	0.0251935	0.000610633	1.74763	9.69744e-10	-1.15693	9.59478e-10	-1.17706	0.993124	0.0242231	0.00059642	1.72427	9.49451e-10	-1.20556	9.62936e-10	-1.17724
1058.6	232.842	0.122	0.990209	0.0269876	0.000705134	1.75764	1.37068e-09	-1.13632	1.35699e-09	-1.15468	0.992072	0.0259731	0.000687495	1.73572	1.34339e-09	-1.18054	1.36183e-09	-1.15483
1083.16	234.75	0.123	0.988868	0.0290353	0.000821921	1.76943	1.97333e-09	-1.11214	1.95471e-09	-1.1288	0.990775	0.0279688	0.000799777	1.74886	1.93594e-09	-1.15216	1.96163e-09	-1.12893
1108.83	236.659	0.124	0.987185	0.0313924	0.000968389	1.78345	2.90149e-09	-1.08357	2.87561e-09	-1.0986	0.989153	0.0302636	0.000940209	1.7641	2.84919e-09	-1.11956	2.88573e-09	-1.09871
1131.62	238.567	0.125	0.985039	0.0341312	0.00115519	1.80024	4.37149e-09	-1.04952	4.33463e-09	-1.06299	0.987089	0.0329267	0.00111876	1.78198	4.29658e-09	-1.08166	4.34981e-09	-1.06308
1154.68	240.476	0.126	0.982248	0.0373457	0.00139807	1.82058	6.77614e-09	-1.00849	6.72206e-09	-1.02045	0.984415	0.0360481	0.0013501	1.80322	6.66578e-09	-1.03694	6.74551e-09	-1.02053
1176.98	242.384	0.127	0.978537	0.0411602	0.00172098	1.84557	1.08605e-08	-0.958346	1.07784e-08	-0.968863	0.980874	0.0397465	0.00165644	1.82887	1.06925e-08	-0.983274	1.08159e-08	-0.96893
1200.04	244.293	0.128	0.973473	0.0457371	0.00216158	1.87678	1.81106e-08	-0.896049	1.79809e-08	-0.905183	0.976063	0.0441773	0.00207247	1.8604	1.78446e-08	-0.917605	1.80434e-08	-0.905239
1222.41	246.201	0.129	0.966353	0.0512847	0.00278109	1.91655	3.16659e-08	-0.817056	3.14509e-08	-0.824863	0.969332	0.0495412	0.00265432	1.90001	3.12247e-08	-0.835386	3.15602e-08	-0.824908
1244.82	248.11	0.13	0.955987	0.0580486	0.00368283	1.96852	5.86034e-08	-0.714366	5.82257e-08	-0.720901	0.959592	0.0560797	0.00349611	1.95107	5.78294e-08	-0.729611	5.84284e-08	-0.720935
1267.09	250.018	0.131	0.940306	0.0662366	0.00504689	2.0385	1.1604e-07	-0.576775	1.1533e-07	-0.58209	0.944951	0.0640178	0.00476114	2.01897	1.14589e-07	-0.589068	1.15732e-07	-0.582114
1289.42	251.927	0.132	0.915654	0.075696	0.00719096	2.13618	2.48246e-07	-0.385724	2.46801e-07	-0.389868	0.922068	0.073306	0.00673769	2.1126	2.45309e-07	-0.395192	2.47668e-07	-0.38988
1311.76	253.836	0.133	0.875967	0.0847005	0.0106423	2.2778	5.7355e-07	-0.109979	5.70373e-07	-0.113002	0.885285	0.0826346	0.00991369	2.24694	5.67142e-07	-0.116741	5.72391e-07	-0.112995
1334.11	255.744	0.134	0.814431	0.0860043	0.0159925	2.48895	1.37513e-06	0.300093	1.36787e-06	0.298145	0.827432	0.0861147	0.0149066	2.44605	1.36063e-06	0.29593	1.37274e-06	0.29818
1357.31	257.653	0.135	0.739601	0.0597918	0.0224968	2.79684	2.94462e-06	0.90047	2.9298e-06	0.899552	0.752337	0.0661542	0.0213832	2.73864	2.91527e-06	0.898806	2.94023e-06	0.899631
1381.68	259.561	0.136	0.706628	-0.00751325	0.0253596	-3.09745	4.15676e-06	1.67123	4.13678e-06	1.6713	0.707593	0.00397905	0.0252345	3.12049	4.11736e-06	1.67195	4.15123e-06	1.67142
1404.22	261.47	0.137	0.754541	-0.0672268	0.0211911	-2.72345	3.21686e-06	2.43035	3.20208e-06	2.43137	0.744641	-0.061271	0.0220276	-2.77761	3.18778e-06	2.43332	3.21296e-06	2.43149
1430.88	263.378	0.138	0.827756	-0.0853228	0.0148246	-2.44264	1.69849e-06	3.00959	1.69102e-06	3.01151	0.818267	-0.0852142	0.0156695	-2.47916	1.6839e-06	3.01468	1.69667e-06	3.01161
1457.53	265.287	0.139	0.883218	-0.0818179	0.0100024	-2.25274	8.20024e-07	-2.88	8.16565e-07	-2.87722	0.877399	-0.0836986	0.0105659	-2.27545	8.13366e-07	-2.8729	8.19277e-07	-2.87714
1480.54	267.195	0.14	0.918668	-0.0729892	0.00692031	-2.12462	4.14057e-07	-2.61458	4.12381e-07	-2.61097	0.91565	-0.0751899	0.00726556	-2.13816	4.10889e-07	-2.60555	4.1375e-07	-2.61091
1503.29	269.104	0.141	0.940985	-0.0641906	0.00498019	-2.03522	2.26071e-07	-2.42966	2.2519e-07	-2.42526	0.939677	-0.0662618	0.00519317	-2.04269	2.24444e-07	-2.41879	2.2594e-07	-2.42521
1526.67	271.012	0.142	0.955452	-0.0566325	0.00372263	-1.97038	1.33271e-07	-2.29565	1.32772e-07	-2.29049	0.955159	-0.058498	0.00385808	-1.97361	1.32371e-07	-2.28302	1.33215e-07	-2.29046
1550.37	272.921	0.143	0.965198	-0.050374	0.00287541	-1.92164	8.39777e-08	-2.19496	8.3674e-08	-2.18907	0.965525	-0.0520525	0.00296445	-1.92176	8.34464e-08	-2.18065	8.39545e-08	-2.18905
1575.15	274.829	0.144	0.972015	-0.0452153	0.00228293	-1.8839	5.59621e-08	-2.11693	5.57666e-08	-2.11036	0.972732	-0.0467424	0.00234325	-1.88161	5.56311e-08	-2.10103	5.59543e-08	-2.11034
1598.99	276.738	0.145	0.976943	-0.0409365	0.00185461	-1.85394	3.9077e-08	-2.05489	3.8945e-08	-2.04765	0.977916	-0.0423451	0.00189652	-1.84969	3.88613e-08	-2.03747	3.90765e-08	-2.04764
1624.34	278.647	0.146	0.98061	-0.0373524	0.00153592	-1.82964	2.83776e-08	-2.00447	2.82846e-08	-1.99662	0.981756	-0.0386688	0.00156566	-1.82376	2.82316e-08	-1.98561	2.83805e-08	-1.99661
1650.3	280.555	0.147	0.983407	-0.034318	0.00129286	-1.80959	2.13023e-08	-1.96276	2.12346e-08	-1.9543	0.984674	-0.0355627	0.00131429	-1.8023	2.12005e-08	-1.94253	2.13068e-08	-1.95431
1673.44	282.464	0.148	0.985587	-0.0317222	0.00110346	-1.79279	1.64501e-08	-1.9277	1.63992e-08	-1.91867	0.986941	-0.0329108	0.0011191	-1.78426	1.63773e-08	-1.90617	1.64552e-08	-1.91869
1696.27	284.372	0.149	0.987317	-0.02948	0.000953122	-1.77854	1.30166e-08	-1.89784	1.29774e-08	-1.88827	0.988735	-0.0306243	0.000964634	-1.7689	1.29634e-08	-1.87507	1.30219e-08	-1.88829
1719.06	286.281	0.15	0.988713	-0.0275259	0.000831842	-1.7663	1.05204e-08	-1.87211	1.04894e-08	-1.86202	0.990178	-0.0286351	0.000840353	-1.75566	1.04807e-08	-1.84817	1.05255e-08	-1.86205
1745.74	288.189	0.151	0.989855	-0.025809	0.000732607	-1.75569	8.66216e-09	-1.84971	8.63724e-09	-1.83913	0.991357	-0.0268903	0.000738901	-1.74413	8.63222e-09	-1.82465	8.66703e-09	-1.83916
1769.6	290.098	0.152	0.990801	-0.0242894	0.000650385	-1.74642	7.25009e-09	-1.83003	7.22966e-09	-1.81898	0.992331	-0.0253484	0.000655022	-1.73401	7.2272e-09	-1.80392	7.25468e-09	-1.81902
1792.42	292.006	0.153	0.991594	-0.0229355	0.000581497	-1.73824	6.15735e-09	-1.8126	6.14033e-09	-1.8011	0.993146	-0.0239767	0.000584879	-1.72506	6.13969e-09	-1.7855	6.16164e-09	-1.80115
1815.21	293.915	0.154	0.992265	-0.0217219	0.000523203	-1.73099	5.29801e-09	-1.79704	5.28361e-09	-1.78513	0.993835	-0.0227488	0.000525627	-1.71708	5.28428e-09	-1.76901	5.30201e-09	-1.78519
1838.65	295.823	0.155	0.992838	-0.0206279	0.000473432	-1.72451	4.6125e-09	-1.78307	4.60016e-09	-1.77076	0.994422	-0.0216435	0.000475118	-1.70993	4.60177e-09	-1.75416	4.61622e-09	-1.77083
1862.28	297.732	0.156	0.993331	-0.0196369	0.000430594	-1.71868	4.05865e-09	-1.77045	4.04795e-09	-1.75776	0.994927	-0.0206436	0.000431707	-1.70348	4.05026e-09	-1.7407	4.06212e-09	-1.75783
1885.04	299.64	0.157	0.993759	-0.018735	0.000393451	-1.71342	3.60607e-09	-1.75897	3.59669e-09	-1.74593	0.995364	-0.0197347	0.000394119	-1.69764	3.59951e-09	-1.72844	3.60931e-09	-1.74601
1907.78	301.549	0.158	0.994132	-0.0179106	0.000361031	-1.70864	3.23248e-09	-1.74849	3.22416e-09	-1.73511	0.995745	-0.018905	0.000361351	-1.69232	3.22736e-09	-1.71723	3.2355e-09	-1.7352
1931.43	303.458	0.159	0.99446	-0.0171543	0.00033256	-1.70428	2.92127e-09	-1.73886	2.91383e-09	-1.72517	0.996079	-0.0181447	0.00033261	-1.68745	2.91732e-09	-1.70691	2.92411e-09	-1.72526
1953.81	305.366	0.16	0.994749	-0.0164578	0.000307418	-1.70028	2.65995e-09	-1.72998	2.65323e-09	-1.71599	0.996374	-0.0174455	0.000307255	-1.68299	2.65694e-09	-1.69739	2.66261e-09	-1.71609
1976.23	307.275	0.161	0.995006	-0.0158142	0.0002851	-1.69659	2.43893e-09	-1.72175	2.43282e-09	-1.70748	0.996635	-0.0168001	0.000284772	-1.67888	2.43669e-09	-1.68856	2.44143e-09	-1.70759
1998.55	309.183	0.162	0.995235	-0.0152178	0.000265194	-1.69319	2.25081e-09	-1.71409	2.24521e-09	-1.69956	0.996868	-0.0162028	0.00026474	-1.67509	2.24921e-09	-1.68034	2.25318e-09	-1.69967
2021.75	311.092	0.163	0.995441	-0.0146635	0.000247362	-1.69003	2.08983e-09	-1.70692	2.08466e-09	-1.69215	0.997076	-0.0156482	0.00024681	-1.67157	2.08876e-09	-1.67266	2.09207e-09	-1.69227
2044.14	313	0.164	0.995625	-0.0141468	0.000231322	-1.68709	1.95142e-09	-1.7002	1.94662e-09	-1.68519	0.997264	-0.015132	0.000230697	-1.6683	1.9508e-09	-1.66546	1.95355e-09	-1.68532
2066.53	314.909	0.165	0.995792	-0.0136641	0.000216838	-1.68434	1.83197e-09	-1.69385	1.82748e-09	-1.67863	0.997432	-0.0146502	0.000216159	-1.66526	1.83173e-09	-1.65867	1.834e-09	-1.67877
2088.98	316.817	0.166	0.995943	-0.013212	0.000203712	-1.68176	1.72857e-09	-1.68783	1.72434e-09	-1.67242	0.997585	-0.0141995	0.000202997	-1.66242	1.72865e-09	-1.65226	1.7305e-09	-1.67257
2111.45	318.726	0.167	0.99608	-0.0127876	0.000191779	-1.67933	1.63888e-09	-1.6821	1.63489e-09	-1.6665	0.997724	-0.013777	0.000191039	-1.65976	1.63926e-09	-1.64616	1.64074e-09	-1.66666
2133.91	320.634	0.168	0.996205	-0.0123885	0.000180894	-1.67704	1.56102e-09	-1.6766	1.55723e-09	-1.66084	0.997851	-0.0133801	0.00018014	-1.65726	1.56166e-09	-1.64033	1.56281e-09	-1.661
2156.99	322.543	0.169	0.99632	-0.0120123	0.000170937	-1.67487	1.49347e-09	-1.6713	1.48985e-09	-1.65538	0.997967	-0.0130064	0.000170179	-1.65492	1.49433e-09	-1.63473	1.49519e-09	-1.65555
2179.33	324.451	0.17	0.996425	-0.0116571	0.000161804	-1.67281	1.43498e-09	-1.66613	1.43152e-09	-1.65007	0.998073	-0.0126541	0.000161048	-1.65271	1.43606e-09	-1.62931	1.43665e-09	-1.65025
2201.68	326.36	0.171	0.996521	-0.0113211	0.000153404	-1.67085	1.38457e-09	-1.66105	1.38124e-09	-1.64486	0.99817	-0.0123212	0.000152656	-1.65063	1.38586e-09	-1.624	1.3862e-09	-1.64504
2224.05	328.269	0.172	0.99661	-0.0110027	0.000145659	-1.66897	1.34147e-09	-1.65597	1.33825e-09	-1.63967	0.99826	-0.0120062	0.000144924	-1.64867	1.34297e-09	-1.61873	1.34306e-09	-1.63986
