=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769740224
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
518.753	21.9482	0.0115	0.998294	0.000565734	9.60733e-07	2.62113	2.66318e-16	1.4776	2.64405e-16	1.5431	0.999997	0.00049948	2.49479e-07	1.57394	2.66086e-16	1.65452	2.47626e-16	1.54449
540.8	22.9025	0.012	0.998294	0.000590663	9.81952e-07	2.60221	2.89644e-16	1.47338	2.87377e-16	1.54182	0.999997	0.000521526	2.71988e-07	1.57408	2.89225e-16	1.65826	2.69028e-16	1.54326
562.867	23.8567	0.0125	0.998294	0.000615635	1.00413e-06	2.58367	3.13836e-16	1.46913	3.11168e-16	1.54053	0.999997	0.000543615	2.95515e-07	1.57422	3.13339e-16	1.66201	2.91336e-16	1.54203
584.874	24.811	0.013	0.998293	0.000640651	1.02729e-06	2.5655	3.38976e-16	1.46486	3.35851e-16	1.53923	0.999996	0.000565748	3.20068e-07	1.57436	3.38321e-16	1.66578	3.1439e-16	1.54079
606.955	25.7653	0.0135	0.998293	0.000665714	1.05142e-06	2.5477	3.65059e-16	1.46057	3.61417e-16	1.53792	0.999996	0.000587927	3.45656e-07	1.5745	3.64191e-16	1.66956	3.38256e-16	1.53955
628.985	26.7195	0.014	0.998293	0.000690825	1.07654e-06	2.53027	3.91963e-16	1.45625	3.87735e-16	1.5366	0.999996	0.000610155	3.72286e-07	1.57464	3.90928e-16	1.67335	3.62892e-16	1.53828
650.943	27.6738	0.0145	0.998292	0.000715986	1.10266e-06	2.51321	4.19806e-16	1.4519	4.14927e-16	1.53527	0.999995	0.000632432	3.99967e-07	1.57478	4.18576e-16	1.67715	3.8833e-16	1.537
672.965	28.6281	0.015	0.998292	0.0007412	1.12979e-06	2.49651	4.48452e-16	1.44752	4.4286e-16	1.53392	0.999995	0.000654762	4.2871e-07	1.57492	4.46982e-16	1.68099	4.14438e-16	1.53572
695.365	29.5823	0.0155	0.998292	0.000766469	1.15793e-06	2.48017	4.78053e-16	1.44312	4.71647e-16	1.53256	0.999995	0.000677146	4.58522e-07	1.57506	4.7629e-16	1.68483	4.41337e-16	1.53442
717.358	30.5366	0.016	0.998292	0.000791793	1.1871e-06	2.46419	5.08444e-16	1.43867	5.01161e-16	1.53119	0.999994	0.000699585	4.89415e-07	1.5752	5.0635e-16	1.6887	4.6889e-16	1.5331
739.373	31.4909	0.0165	0.998291	0.000817176	1.2173e-06	2.44855	5.39704e-16	1.4342	5.31432e-16	1.5298	0.999994	0.000722083	5.21398e-07	1.57534	5.37254e-16	1.69258	4.97177e-16	1.53177
761.368	32.4451	0.017	0.998291	0.000842619	1.24855e-06	2.43326	5.71779e-16	1.42969	5.62439e-16	1.5284	0.999994	0.00074464	5.54483e-07	1.57549	5.68929e-16	1.69648	5.26123e-16	1.53043
783.449	33.3994	0.0175	0.99829	0.000868124	1.28086e-06	2.41832	6.04622e-16	1.42515	5.94099e-16	1.52698	0.999993	0.000767259	5.8868e-07	1.57563	6.01307e-16	1.70042	5.55672e-16	1.52906
805.566	34.3537	0.018	0.99829	0.000893694	1.31424e-06	2.4037	6.38311e-16	1.42056	6.26497e-16	1.52555	0.999993	0.000789942	6.24001e-07	1.57577	6.3452e-16	1.70436	5.85914e-16	1.52769
827.66	35.308	0.0185	0.99829	0.000919329	1.34871e-06	2.38941	6.72744e-16	1.41594	6.59514e-16	1.52409	0.999992	0.000812692	6.60459e-07	1.57591	6.68425e-16	1.70833	6.16745e-16	1.52628
849.804	36.2622	0.019	0.998289	0.000945034	1.38427e-06	2.37544	7.07913e-16	1.41127	6.93136e-16	1.52262	0.999992	0.000835509	6.98065e-07	1.57606	7.02957e-16	1.71233	6.48066e-16	1.52487
872.355	37.2165	0.0195	0.998289	0.000970808	1.42093e-06	2.36179	7.4384e-16	1.40655	7.27382e-16	1.52113	0.999991	0.000858396	7.36833e-07	1.5762	7.3826e-16	1.71635	6.80052e-16	1.52343
894.391	38.1708	0.02	0.998288	0.000996656	1.45872e-06	2.34844	7.80511e-16	1.4018	7.62231e-16	1.51961	0.999991	0.000881355	7.76775e-07	1.57635	7.74158e-16	1.7204	7.125e-16	1.52197
916.505	39.125	0.0205	0.998288	0.00102258	1.49764e-06	2.33539	8.17807e-16	1.39699	7.97553e-16	1.51808	0.999991	0.000904389	8.17906e-07	1.57649	8.10666e-16	1.72448	7.4543e-16	1.52049
938.764	40.0793	0.021	0.998287	0.00104858	1.53771e-06	2.32264	8.55841e-16	1.39213	8.3345e-16	1.51652	0.99999	0.000927499	8.6024e-07	1.57664	8.47836e-16	1.72859	7.78875e-16	1.51899
960.887	41.0336	0.0215	0.998287	0.00107465	1.57895e-06	2.31018	8.94455e-16	1.38722	8.69757e-16	1.51494	0.99999	0.000950687	9.03791e-07	1.57678	8.85522e-16	1.73273	8.12715e-16	1.51747
983.02	41.9878	0.022	0.998287	0.00110081	1.62137e-06	2.29799	9.33775e-16	1.38226	9.06577e-16	1.51334	0.999989	0.000973956	9.48575e-07	1.57693	9.23719e-16	1.73691	8.46915e-16	1.51592
1005.09	42.9421	0.0225	0.998286	0.00112706	1.66498e-06	2.28608	9.73654e-16	1.37723	9.43763e-16	1.51171	0.999988	0.000997309	9.94607e-07	1.57707	9.62466e-16	1.74112	8.81521e-16	1.51434
1027.14	43.8964	0.023	0.998285	0.00115338	1.7098e-06	2.27443	1.01411e-15	1.37215	9.81321e-16	1.51005	0.999988	0.00102075	1.0419e-06	1.57722	1.00169e-15	1.74537	9.16472e-16	1.51273
1049.44	44.8506	0.0235	0.998285	0.0011798	1.75586e-06	2.26304	1.05516e-15	1.36701	1.01927e-15	1.50836	0.999987	0.00104427	1.09048e-06	1.57737	1.04134e-15	1.74965	9.51677e-16	1.5111
1072.02	45.8049	0.024	0.998284	0.00120631	1.80316e-06	2.25191	1.09671e-15	1.36179	1.05747e-15	1.50665	0.999987	0.00106789	1.14036e-06	1.57752	1.08139e-15	1.75398	9.87145e-16	1.50943
1094.01	46.7592	0.0245	0.998284	0.00123291	1.85172e-06	2.24102	1.13868e-15	1.35651	1.09587e-15	1.5049	0.999986	0.00109159	1.19155e-06	1.57767	1.12185e-15	1.75835	1.02285e-15	1.50774
1115.97	47.7135	0.025	0.998283	0.0012596	1.90156e-06	2.23038	1.18113e-15	1.35115	1.1345e-15	1.50312	0.999986	0.00111539	1.24408e-06	1.57782	1.16258e-15	1.76276	1.05868e-15	1.50601
1137.94	48.6677	0.0255	0.998283	0.00128639	1.95271e-06	2.21997	1.22406e-15	1.34573	1.17332e-15	1.5013	0.999985	0.00113929	1.29796e-06	1.57797	1.20363e-15	1.76722	1.09466e-15	1.50424
1160.01	49.622	0.026	0.998282	0.00131328	2.00517e-06	2.20978	1.26739e-15	1.34022	1.21227e-15	1.49945	0.999984	0.00116329	1.35321e-06	1.57812	1.24494e-15	1.77172	1.13072e-15	1.50244
1182.01	50.5763	0.0265	0.998281	0.00134028	2.05898e-06	2.19982	1.31106e-15	1.33463	1.25126e-15	1.49756	0.999984	0.00118739	1.40986e-06	1.57827	1.28645e-15	1.77628	1.16682e-15	1.5006
1204.02	51.5305	0.027	0.998281	0.00136738	2.11415e-06	2.19007	1.35503e-15	1.32896	1.29023e-15	1.49563	0.999983	0.00121159	1.46792e-06	1.57842	1.32809e-15	1.78089	1.20287e-15	1.49872
1226.36	52.4848	0.0275	0.99828	0.00139458	2.17071e-06	2.18054	1.39928e-15	1.32319	1.32916e-15	1.49366	0.999982	0.0012359	1.52741e-06	1.57857	1.36983e-15	1.78556	1.23884e-15	1.49679
1248.44	53.4391	0.028	0.99828	0.0014219	2.22866e-06	2.1712	1.44376e-15	1.31733	1.36799e-15	1.49165	0.999982	0.00126032	1.58836e-06	1.57873	1.41161e-15	1.79028	1.27468e-15	1.49482
1270.49	54.3933	0.0285	0.998279	0.00144933	2.28805e-06	2.16207	1.48846e-15	1.31137	1.40665e-15	1.48959	0.999981	0.00128485	1.65079e-06	1.57888	1.45343e-15	1.79507	1.31036e-15	1.49281
1292.56	55.3476	0.029	0.998278	0.00147687	2.34889e-06	2.15313	1.53334e-15	1.30532	1.44513e-15	1.48748	0.99998	0.00130949	1.71473e-06	1.57903	1.49521e-15	1.79992	1.34582e-15	1.49074
1314.76	56.3019	0.0295	0.998277	0.00150453	2.4112e-06	2.14438	1.57827e-15	1.29915	1.48325e-15	1.48532	0.999979	0.00133425	1.78018e-06	1.57919	1.53685e-15	1.80484	1.38093e-15	1.48863
1336.79	57.2561	0.03	0.998277	0.00153231	2.47502e-06	2.13581	1.62334e-15	1.29287	1.5211e-15	1.48311	0.999979	0.00135913	1.84719e-06	1.57934	1.57831e-15	1.80983	1.41568e-15	1.48645
1359.12	58.2104	0.0305	0.998276	0.00156021	2.54036e-06	2.12742	1.66846e-15	1.28647	1.55854e-15	1.48083	0.999978	0.00138414	1.91578e-06	1.5795	1.61959e-15	1.8149	1.45003e-15	1.48422
1381.15	59.1647	0.031	0.998275	0.00158824	2.60725e-06	2.1192	1.71349e-15	1.27995	1.59544e-15	1.47851	0.999977	0.00140926	1.98597e-06	1.57966	1.66053e-15	1.82005	1.48386e-15	1.48193
1403.15	60.1189	0.0315	0.998274	0.0016164	2.67572e-06	2.11115	1.75847e-15	1.2733	1.63181e-15	1.47611	0.999976	0.00143452	2.05779e-06	1.57982	1.70115e-15	1.82527	1.51714e-15	1.47958
1425.54	61.0732	0.032	0.998274	0.00164469	2.7458e-06	2.10327	1.80334e-15	1.26651	1.66756e-15	1.47366	0.999975	0.00145991	2.13126e-06	1.57998	1.74134e-15	1.83059	1.54979e-15	1.47715
1447.7	62.0275	0.0325	0.998273	0.00167311	2.81751e-06	2.09554	1.84805e-15	1.25958	1.70259e-15	1.47113	0.999974	0.00148543	2.20642e-06	1.58014	1.781e-15	1.836	1.58169e-15	1.47466
1469.92	62.9818	0.033	0.998272	0.00170167	2.89089e-06	2.08797	1.89251e-15	1.25251	1.73685e-15	1.46853	0.999974	0.00151108	2.2833e-06	1.5803	1.82012e-15	1.84151	1.61283e-15	1.47209
1492.21	63.936	0.0335	0.998271	0.00173037	2.96597e-06	2.08055	1.9367e-15	1.24527	1.77023e-15	1.46585	0.999973	0.00153688	2.36192e-06	1.58046	1.85863e-15	1.84712	1.64314e-15	1.46944
1514.39	64.8903	0.034	0.99827	0.00175922	3.04277e-06	2.07328	1.98051e-15	1.23787	1.80263e-15	1.46308	0.999972	0.00156281	2.44231e-06	1.58062	1.89635e-15	1.85284	1.67244e-15	1.4667
1536.57	65.8446	0.0345	0.998269	0.00178821	3.12133e-06	2.06615	2.02395e-15	1.23031	1.83402e-15	1.46024	0.999971	0.0015889	2.52451e-06	1.58078	1.93327e-15	1.85868	1.70071e-15	1.46388
1558.9	66.7988	0.035	0.998268	0.00181735	3.20168e-06	2.05916	2.06698e-15	1.22256	1.86431e-15	1.4573	0.99997	0.00161513	2.60855e-06	1.58095	1.96939e-15	1.86463	1.72795e-15	1.46096
1581.08	67.7531	0.0355	0.998267	0.00184664	3.28385e-06	2.0523	2.10947e-15	1.21462	1.89337e-15	1.45426	0.999969	0.00164151	2.69447e-06	1.58111	2.00451e-15	1.87071	1.75396e-15	1.45794
1603.51	68.7074	0.036	0.998266	0.00187609	3.36789e-06	2.04558	2.15137e-15	1.20649	1.9211e-15	1.45112	0.999968	0.00166805	2.78229e-06	1.58128	2.03854e-15	1.87693	1.77865e-15	1.45482
1625.81	69.6616	0.0365	0.998265	0.00190569	3.45383e-06	2.03898	2.19267e-15	1.19814	1.94745e-15	1.44786	0.999967	0.00169474	2.87206e-06	1.58145	2.07149e-15	1.88328	1.80202e-15	1.45158
1647.97	70.6159	0.037	0.998264	0.00193546	3.5417e-06	2.03251	2.2333e-15	1.18958	1.97233e-15	1.4445	0.999966	0.0017216	2.96381e-06	1.58161	2.10321e-15	1.88979	1.82392e-15	1.44822
1670.07	71.5702	0.0375	0.998263	0.0019654	3.63154e-06	2.02616	2.27316e-15	1.18078	1.99559e-15	1.44101	0.999965	0.00174862	3.05758e-06	1.58178	2.13365e-15	1.89646	1.84429e-15	1.44473
1692.13	72.5244	0.038	0.998262	0.0019955	3.72339e-06	2.01993	2.31224e-15	1.17174	2.01719e-15	1.43738	0.999963	0.00177581	3.1534e-06	1.58195	2.16263e-15	1.9033	1.86298e-15	1.44111
1714.1	73.4787	0.0385	0.998261	0.00202578	3.81729e-06	2.01382	2.35044e-15	1.16245	2.03699e-15	1.43362	0.999962	0.00180318	3.25133e-06	1.58212	2.19012e-15	1.91032	1.87991e-15	1.43734
1736.08	74.433	0.039	0.99826	0.00205623	3.91328e-06	2.00782	2.38773e-15	1.15289	2.0549e-15	1.42971	0.999961	0.00183071	3.35139e-06	1.5823	2.21605e-15	1.91752	1.89505e-15	1.43342
1758.34	75.3873	0.0395	0.998259	0.00208687	4.01141e-06	2.00193	2.424e-15	1.14304	2.07077e-15	1.42563	0.99996	0.00185843	3.45363e-06	1.58247	2.24022e-15	1.92494	1.9082e-15	1.42933
1780.76	76.3415	0.04	0.998258	0.00211768	4.11172e-06	1.99614	2.45925e-15	1.13289	2.08458e-15	1.42139	0.999959	0.00188633	3.5581e-06	1.58264	2.26267e-15	1.93257	1.91936e-15	1.42507
1802.82	77.2958	0.0405	0.998257	0.00214869	4.21426e-06	1.99046	2.49346e-15	1.12243	2.09622e-15	1.41696	0.999958	0.00191441	3.66484e-06	1.58282	2.28321e-15	1.94043	1.92837e-15	1.42061
1825.01	78.2501	0.041	0.998255	0.00217989	4.31907e-06	1.98488	2.52647e-15	1.11164	2.10551e-15	1.41234	0.999956	0.00194268	3.77389e-06	1.583	2.30177e-15	1.94853	1.93518e-15	1.41595
1847.2	79.2043	0.0415	0.998254	0.00221128	4.42619e-06	1.9794	2.5583e-15	1.1005	2.11242e-15	1.40751	0.999955	0.00197115	3.88531e-06	1.58317	2.31827e-15	1.95689	1.93966e-15	1.41107
1869.24	80.1586	0.042	0.998253	0.00224287	4.53568e-06	1.97402	2.58894e-15	1.08899	2.11685e-15	1.40245	0.999954	0.00199982	3.99914e-06	1.58335	2.33262e-15	1.96553	1.94175e-15	1.40595
1891.37	81.1129	0.0425	0.998252	0.00227466	4.6476e-06	1.96873	2.61829e-15	1.07709	2.11868e-15	1.39716	0.999952	0.00202869	4.11543e-06	1.58353	2.34468e-15	1.97447	1.94133e-15	1.40059
1913.38	82.0671	0.043	0.99825	0.00230666	4.76198e-06	1.96353	2.64632e-15	1.06478	2.11779e-15	1.39159	0.999951	0.00205776	4.23423e-06	1.58371	2.35438e-15	1.98373	1.93832e-15	1.39494
1935.6	83.0214	0.0435	0.998249	0.00233887	4.87889e-06	1.95842	2.67301e-15	1.05204	2.1141e-15	1.38575	0.99995	0.00208704	4.35561e-06	1.5839	2.36165e-15	1.99333	1.93263e-15	1.389
1957.89	83.9757	0.044	0.998248	0.0023713	4.99839e-06	1.9534	2.69835e-15	1.03883	2.10754e-15	1.3796	0.999948	0.00211654	4.4796e-06	1.58408	2.36639e-15	2.00329	1.9242e-15	1.38275
