=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769732068
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
594.483	43.8964	0.023	0.998306	0.00109695	1.58316e-06	2.29715	1.18158e-15	1.41175	1.16048e-15	1.53163	1.00001	0.000964628	9.30481e-07	1.56691	1.18912e-15	1.73667	1.09028e-15	1.53482
616.494	45.8049	0.024	0.998307	0.00114218	1.65464e-06	2.27646	1.29483e-15	1.4055	1.26992e-15	1.52988	1.00001	0.00100412	1.00822e-06	1.56676	1.30335e-15	1.74275	1.1933e-15	1.5332
638.609	47.7135	0.025	0.998308	0.0011871	1.72839e-06	2.25677	1.41404e-15	1.39931	1.38486e-15	1.52814	1.00001	0.0010433	1.08845e-06	1.5666	1.42363e-15	1.74871	1.30154e-15	1.53158
663.821	49.622	0.026	0.998308	0.00123172	1.80432e-06	2.23802	1.53937e-15	1.39319	1.50537e-15	1.52638	1.00001	0.00108218	1.17108e-06	1.56644	1.55012e-15	1.75455	1.4151e-15	1.52994
687.674	51.5305	0.027	0.998309	0.00127601	1.88234e-06	2.22017	1.67071e-15	1.38712	1.63137e-15	1.52461	1.00001	0.00112074	1.25601e-06	1.56629	1.68266e-15	1.7603	1.53385e-15	1.5283
712.248	53.4391	0.028	0.99831	0.00131998	1.96236e-06	2.20317	1.80816e-15	1.38111	1.76289e-15	1.52284	1.00001	0.00115897	1.34316e-06	1.56614	1.82134e-15	1.76594	1.65781e-15	1.52666
739.511	55.3476	0.029	0.998311	0.00136361	2.04429e-06	2.18695	1.95188e-15	1.37516	1.90003e-15	1.52106	1.00001	0.00119687	1.43242e-06	1.56598	1.96628e-15	1.77147	1.78709e-15	1.525
763.877	57.2561	0.03	0.998312	0.00140688	2.12804e-06	2.17149	2.10166e-15	1.36926	2.04259e-15	1.51927	1.00001	0.00123441	1.5237e-06	1.56583	2.11742e-15	1.77691	1.92157e-15	1.52333
789.335	59.1647	0.031	0.998313	0.00144981	2.21351e-06	2.15673	2.25773e-15	1.36341	2.19075e-15	1.51747	1.00001	0.00127161	1.6169e-06	1.56569	2.27475e-15	1.78225	2.06127e-15	1.52165
815.608	61.0732	0.032	0.998314	0.00149236	2.30061e-06	2.14264	2.41991e-15	1.35761	2.34428e-15	1.51566	1.00002	0.00130844	1.71192e-06	1.56554	2.43826e-15	1.78749	2.20614e-15	1.51997
843.583	62.9818	0.033	0.998315	0.00153455	2.38925e-06	2.12917	2.5883e-15	1.35186	2.50324e-15	1.51384	1.00002	0.0013449	1.80865e-06	1.56539	2.60795e-15	1.79265	2.35613e-15	1.51827
869.732	64.8903	0.034	0.998316	0.00157636	2.47932e-06	2.1163	2.76272e-15	1.34615	2.66742e-15	1.51201	1.00002	0.00138099	1.907e-06	1.56525	2.78364e-15	1.79772	2.51108e-15	1.51656
893.878	66.7988	0.035	0.998317	0.00161778	2.57074e-06	2.10398	2.94324e-15	1.34048	2.83686e-15	1.51016	1.00002	0.00141669	2.00686e-06	1.56511	2.96529e-15	1.80271	2.67093e-15	1.51484
919.715	68.7074	0.036	0.998318	0.00165881	2.6634e-06	2.09219	3.12962e-15	1.33484	3.01128e-15	1.50831	1.00002	0.001452	2.10813e-06	1.56497	3.15281e-15	1.80763	2.83559e-15	1.5131
