=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.251
Time_from_Epoch = 1770039865
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
59.858	1.90854	0.001	0.998297	4.8887e-05	7.27551e-07	3.09225	2.28296e-18	1.56634	2.2617e-18	1.57186	1	4.31308e-05	1.86026e-09	1.57129	2.30838e-18	1.58061	2.15251e-18	1.57209
83.212	2.86281	0.0015	0.998297	7.33327e-05	7.29728e-07	3.06764	4.84389e-18	1.56393	4.82869e-18	1.57227	1	6.47047e-05	4.1867e-09	1.57153	4.87126e-18	1.586	4.55219e-18	1.57259
106.301	3.81708	0.002	0.998297	9.7781e-05	7.32777e-07	3.04313	8.4042e-18	1.56151	8.39632e-18	1.57268	1	8.62888e-05	7.44577e-09	1.57177	8.43206e-18	1.59135	7.88612e-18	1.57313
129.406	4.77135	0.0025	0.998297	0.000122233	7.36698e-07	3.01872	1.30853e-17	1.55917	1.30772e-17	1.5731	1	0.000107887	1.16395e-08	1.57202	1.31353e-17	1.59655	1.22855e-17	1.57369
152.364	5.72561	0.003	0.998297	0.000146689	7.41492e-07	2.99445	1.8842e-17	1.55684	1.88277e-17	1.57352	1	0.000129501	1.67706e-08	1.57226	1.88759e-17	1.60175	1.76427e-17	1.57424
175.409	6.67988	0.0035	0.998297	0.000171151	7.47159e-07	2.97034	2.56045e-17	1.55451	2.55962e-17	1.57398	1	0.000151137	2.28424e-08	1.57251	2.56904e-17	1.60691	2.4019e-17	1.57479
198.443	7.63415	0.004	0.998297	0.000195619	7.53701e-07	2.94642	3.35858e-17	1.55223	3.35738e-17	1.57442	0.999999	0.000172796	2.98585e-08	1.57275	3.36783e-17	1.61204	3.1481e-17	1.57536
221.401	8.58842	0.0045	0.998297	0.000220094	7.61119e-07	2.92271	4.26814e-17	1.54996	4.26605e-17	1.57485	0.999999	0.000194483	3.78236e-08	1.573	4.28416e-17	1.61709	4.00285e-17	1.5759
244.392	9.54269	0.005	0.998297	0.000244577	7.69414e-07	2.89924	5.29904e-17	1.54772	5.29583e-17	1.5753	0.999999	0.0002162	4.67427e-08	1.57325	5.32391e-17	1.6221	4.97443e-17	1.57644
267.391	10.497	0.0055	0.998297	0.000269069	7.78588e-07	2.87601	6.4559e-17	1.54551	6.45234e-17	1.57574	0.999999	0.000237952	5.66214e-08	1.57349	6.48253e-17	1.6271	6.05627e-17	1.577
290.522	11.4512	0.006	0.998296	0.000293571	7.88641e-07	2.85306	7.74172e-17	1.54333	7.73803e-17	1.57619	0.999999	0.000259742	6.74662e-08	1.57374	7.77862e-17	1.63203	7.26533e-17	1.57756
313.555	12.4055	0.0065	0.998296	0.000318083	7.99577e-07	2.83039	9.16046e-17	1.54118	9.15456e-17	1.57663	0.999998	0.000281573	7.92838e-08	1.57399	9.20526e-17	1.63693	8.59668e-17	1.57811
336.703	13.3598	0.007	0.998296	0.000342608	8.11397e-07	2.80803	1.07214e-16	1.53906	1.07138e-16	1.57708	0.999998	0.000303449	9.20819e-08	1.57424	1.07816e-16	1.64174	1.00649e-16	1.57866
359.667	14.314	0.0075	0.998296	0.000367144	8.24103e-07	2.78599	1.24306e-16	1.53699	1.24209e-16	1.57753	0.999998	0.000325374	1.05869e-07	1.57448	1.25031e-16	1.6465	1.16698e-16	1.57921
382.783	15.2683	0.008	0.998296	0.000391694	8.37697e-07	2.76428	1.42926e-16	1.53494	1.42803e-16	1.57797	0.999997	0.000347351	1.20653e-07	1.57473	1.43845e-16	1.65121	1.34228e-16	1.57976
405.71	16.2226	0.0085	0.998296	0.000416259	8.52182e-07	2.74292	1.63121e-16	1.53294	1.62962e-16	1.57842	0.999997	0.000369383	1.36445e-07	1.57498	1.64263e-16	1.65586	1.53244e-16	1.58031
428.664	17.1768	0.009	0.998296	0.000440838	8.67561e-07	2.7219	1.85071e-16	1.53098	1.84875e-16	1.57886	0.999997	0.000391475	1.53254e-07	1.57523	1.8642e-16	1.66044	1.73884e-16	1.58087
451.591	18.1311	0.0095	0.998296	0.000465434	8.83836e-07	2.70125	2.08787e-16	1.52907	2.08545e-16	1.57931	0.999996	0.00041363	1.71091e-07	1.57548	2.10455e-16	1.66494	1.9625e-16	1.5814
474.535	19.0854	0.01	0.998296	0.000490047	9.01009e-07	2.68096	2.34434e-16	1.5272	2.34141e-16	1.57976	0.999996	0.000435851	1.89969e-07	1.57574	2.36403e-16	1.66937	2.20391e-16	1.58194
497.642	20.0396	0.0105	0.998296	0.000514677	9.19085e-07	2.66105	2.6205e-16	1.52538	2.61709e-16	1.58021	0.999995	0.000458144	2.09898e-07	1.57599	2.64466e-16	1.67371	2.46491e-16	1.58248
521.059	20.9939	0.011	0.998296	0.000539327	9.38067e-07	2.64151	2.9178e-16	1.52361	2.91367e-16	1.58066	0.999995	0.00048051	2.30893e-07	1.57624	2.9467e-16	1.67798	2.74571e-16	1.58302
543.967	21.9482	0.0115	0.998295	0.000563997	9.57958e-07	2.62234	3.23698e-16	1.52188	3.23221e-16	1.58111	0.999995	0.000502955	2.52968e-07	1.5765	3.27148e-16	1.68218	3.04767e-16	1.58356
567.064	22.9025	0.012	0.998295	0.000588687	9.7876e-07	2.60356	3.58083e-16	1.52021	3.57524e-16	1.58156	0.999994	0.000525482	2.76136e-07	1.57675	3.62066e-16	1.6863	3.37197e-16	1.5841
590.071	23.8567	0.0125	0.998295	0.000613398	1.00048e-06	2.58516	3.94915e-16	1.51859	3.94268e-16	1.58201	0.999993	0.000548095	3.00413e-07	1.57701	3.99597e-16	1.69032	3.72078e-16	1.58463
613.099	24.811	0.013	0.998295	0.000638133	1.02312e-06	2.56714	4.34443e-16	1.51702	4.3369e-16	1.58245	0.999993	0.000570798	3.25816e-07	1.57726	4.39825e-16	1.69427	4.09444e-16	1.58517
636.208	25.7653	0.0135	0.998295	0.000662891	1.04668e-06	2.5495	4.76696e-16	1.51551	4.7584e-16	1.58291	0.999992	0.000593595	3.52362e-07	1.57752	4.83041e-16	1.69812	4.49577e-16	1.58569
