=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769780238
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
548.046	21.9482	0.0115	0.998296	0.000563738	9.57545e-07	2.62253	3.43692e-16	1.53457	3.43677e-16	1.592	0.999994	0.000504166	2.5419e-07	1.57739	3.48314e-16	1.69013	3.24655e-16	1.59472
570.938	22.9025	0.012	0.998295	0.000588392	9.78287e-07	2.60376	3.82063e-16	1.5335	3.82043e-16	1.59284	0.999993	0.000526862	2.77591e-07	1.57768	3.87463e-16	1.69429	3.61088e-16	1.59564
593.801	23.8567	0.0125	0.998295	0.000613066	9.99938e-07	2.58538	4.23507e-16	1.53249	4.23505e-16	1.59367	0.999992	0.000549659	3.02134e-07	1.57798	4.29911e-16	1.69831	4.00607e-16	1.59654
616.638	24.811	0.013	0.998295	0.000637758	1.0225e-06	2.56738	4.68306e-16	1.53153	4.68318e-16	1.59449	0.999992	0.000572562	3.27838e-07	1.57828	4.75757e-16	1.70224	4.43268e-16	1.59745
639.538	25.7653	0.0135	0.998295	0.000662471	1.04598e-06	2.54976	5.16632e-16	1.53064	5.16679e-16	1.5953	0.999991	0.000595577	3.54724e-07	1.57858	5.25269e-16	1.70607	4.8936e-16	1.59834
662.391	26.7195	0.014	0.998295	0.000687204	1.07038e-06	2.53252	5.68872e-16	1.52979	5.6894e-16	1.5961	0.99999	0.000618708	3.82814e-07	1.57888	5.78892e-16	1.70975	5.39265e-16	1.59921
685.643	27.6738	0.0145	0.998295	0.00071196	1.0957e-06	2.51565	6.2516e-16	1.52901	6.25257e-16	1.5969	0.99999	0.00064196	4.12129e-07	1.57919	6.36666e-16	1.71334	5.93058e-16	1.60007
708.639	28.6281	0.015	0.998295	0.000736737	1.12195e-06	2.49915	6.85873e-16	1.52829	6.86024e-16	1.59769	0.999989	0.000665337	4.42693e-07	1.57949	6.9907e-16	1.7168	6.51165e-16	1.60092
731.5	29.5823	0.0155	0.998295	0.000761538	1.14914e-06	2.48302	7.51311e-16	1.52763	7.51518e-16	1.59846	0.999988	0.000688847	4.74532e-07	1.5798	7.6639e-16	1.72015	7.13861e-16	1.60176
754.528	30.5366	0.016	0.998294	0.000786364	1.17725e-06	2.46724	8.21826e-16	1.52702	8.22103e-16	1.59923	0.999987	0.000712492	5.07671e-07	1.58011	8.38964e-16	1.72339	7.81472e-16	1.60259
777.495	31.4909	0.0165	0.998294	0.000811214	1.20631e-06	2.45182	8.97666e-16	1.52647	8.98022e-16	1.6	0.999986	0.00073628	5.42138e-07	1.58042	9.17168e-16	1.72651	8.54351e-16	1.6034
800.448	32.4451	0.017	0.998294	0.000836089	1.23632e-06	2.43676	9.79429e-16	1.52599	9.79891e-16	1.60075	0.999985	0.000760215	5.77961e-07	1.58073	1.00147e-15	1.72951	9.32937e-16	1.6042
823.451	33.3994	0.0175	0.998294	0.000860992	1.26727e-06	2.42203	1.06738e-15	1.52555	1.06797e-15	1.60149	0.999985	0.000784303	6.1517e-07	1.58104	1.09214e-15	1.73242	1.01748e-15	1.605
846.497	34.3537	0.018	0.998294	0.000885921	1.29918e-06	2.40764	1.16204e-15	1.52518	1.16279e-15	1.60223	0.999984	0.00080855	6.53796e-07	1.58136	1.18991e-15	1.73519	1.10871e-15	1.60577
869.281	35.308	0.0185	0.998294	0.000910879	1.33204e-06	2.39359	1.26374e-15	1.52487	1.26468e-15	1.60296	0.999983	0.000832961	6.93872e-07	1.58168	1.29509e-15	1.73786	1.20687e-15	1.60654
892.105	36.2622	0.019	0.998293	0.000935866	1.36588e-06	2.37985	1.37325e-15	1.5246	1.37438e-15	1.60367	0.999982	0.000857542	7.35433e-07	1.582	1.40828e-15	1.74043	1.31256e-15	1.60729
914.807	37.2165	0.0195	0.998293	0.000960883	1.40068e-06	2.36644	1.49098e-15	1.5244	1.49236e-15	1.60439	0.99998	0.000882299	7.78513e-07	1.58232	1.53006e-15	1.74289	1.42633e-15	1.60804
937.7	38.1708	0.02	0.998293	0.000985931	1.43646e-06	2.35333	1.61747e-15	1.52425	1.61914e-15	1.60509	0.999979	0.000907239	8.23152e-07	1.58265	1.66092e-15	1.74524	1.54867e-15	1.60878
960.79	39.125	0.0205	0.998293	0.00101101	1.47321e-06	2.34053	1.75338e-15	1.52416	1.75538e-15	1.60579	0.999978	0.000932367	8.69386e-07	1.58298	1.80165e-15	1.7475	1.68029e-15	1.6095
983.591	40.0793	0.021	0.998293	0.00103612	1.51096e-06	2.32802	1.89955e-15	1.52412	1.90191e-15	1.60648	0.999977	0.000957691	9.17258e-07	1.58331	1.95308e-15	1.74964	1.82201e-15	1.61022
1006.39	41.0336	0.0215	0.998292	0.00106127	1.5497e-06	2.3158	2.05647e-15	1.52413	2.05929e-15	1.60717	0.999976	0.000983216	9.6681e-07	1.58364	2.11569e-15	1.75169	1.97429e-15	1.61092
