=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.251
Time_from_Epoch = 1769991310
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
534.737	21.9482	0.0115	0.998295	0.000564267	9.58389e-07	2.62215	3.0829e-16	1.5112	3.07443e-16	1.57194	0.999995	0.000502019	2.52025e-07	1.57581	3.10715e-16	1.6755	2.89341e-16	1.57416
556.862	22.9025	0.012	0.998295	0.000588994	9.79256e-07	2.60335	3.39572e-16	1.50898	3.38565e-16	1.57203	0.999995	0.000524416	2.75014e-07	1.57603	3.42391e-16	1.67956	3.18741e-16	1.57433
578.901	23.8567	0.0125	0.998295	0.000613746	1.00105e-06	2.58493	3.72909e-16	1.5068	3.71739e-16	1.57212	0.999994	0.000546887	2.99088e-07	1.57625	3.76254e-16	1.68355	3.50161e-16	1.57451
601.012	24.811	0.013	0.998295	0.000638524	1.02377e-06	2.56688	4.08378e-16	1.50466	4.07019e-16	1.57221	0.999994	0.000569436	3.2426e-07	1.57648	4.12254e-16	1.68749	3.8354e-16	1.57468
623.651	25.7653	0.0135	0.998295	0.000663329	1.04742e-06	2.54922	4.4612e-16	1.50258	4.44547e-16	1.57232	0.999993	0.000592065	3.50545e-07	1.57671	4.50579e-16	1.69138	4.19066e-16	1.57487
645.962	26.7195	0.014	0.998294	0.000688163	1.07201e-06	2.53192	4.86277e-16	1.50054	4.84444e-16	1.57242	0.999993	0.000614779	3.77958e-07	1.57693	4.91365e-16	1.69519	4.56857e-16	1.57505
668.241	27.6738	0.0145	0.998294	0.000713025	1.09754e-06	2.515	5.2889e-16	1.49854	5.26794e-16	1.57253	0.999992	0.000637581	4.06515e-07	1.57716	5.3467e-16	1.69895	4.96972e-16	1.57524
690.44	28.6281	0.015	0.998294	0.000737918	1.12402e-06	2.49845	5.74086e-16	1.4966	5.71704e-16	1.57265	0.999992	0.000660474	4.36233e-07	1.57739	5.80747e-16	1.70263	5.3964e-16	1.57543
712.738	29.5823	0.0155	0.998294	0.000762842	1.15145e-06	2.48226	6.22061e-16	1.49471	6.1935e-16	1.57278	0.999991	0.000683463	4.67129e-07	1.57762	6.29664e-16	1.70624	5.8492e-16	1.57562
734.943	30.5366	0.016	0.998294	0.000787799	1.17985e-06	2.46643	6.72885e-16	1.49286	6.69822e-16	1.57291	0.999991	0.00070655	4.99221e-07	1.57785	6.81535e-16	1.70979	6.32919e-16	1.57582
757.145	31.4909	0.0165	0.998293	0.000812789	1.2092e-06	2.45096	7.26806e-16	1.49107	7.23349e-16	1.57304	0.99999	0.000729739	5.32529e-07	1.57808	7.36528e-16	1.71328	6.83809e-16	1.57603
779.428	32.4451	0.017	0.998293	0.000837814	1.23953e-06	2.43583	7.83978e-16	1.48934	7.80099e-16	1.57318	0.999989	0.000753035	5.67072e-07	1.57831	7.94857e-16	1.7167	7.37755e-16	1.57624
803.024	33.3994	0.0175	0.998293	0.000862875	1.27084e-06	2.42104	8.44431e-16	1.48765	8.40095e-16	1.57333	0.999989	0.00077644	6.02872e-07	1.57854	8.56689e-16	1.72005	7.94934e-16	1.57645
825.127	34.3537	0.018	0.998293	0.000887973	1.30314e-06	2.4066	9.08488e-16	1.48601	9.03648e-16	1.57348	0.999988	0.000799959	6.39949e-07	1.57878	9.22199e-16	1.72333	8.55503e-16	1.57667
847.143	35.308	0.0185	0.998293	0.000913109	1.33642e-06	2.39248	9.76259e-16	1.48443	9.70894e-16	1.57363	0.999987	0.000823596	6.78327e-07	1.57901	9.91537e-16	1.72654	9.1961e-16	1.57689
869.354	36.2622	0.019	0.998292	0.000938284	1.3707e-06	2.37868	1.04801e-15	1.4829	1.04205e-15	1.5738	0.999986	0.000847355	7.18028e-07	1.57925	1.06503e-15	1.72968	9.87551e-16	1.57711
891.761	37.2165	0.0195	0.998292	0.000963499	1.40599e-06	2.3652	1.12388e-15	1.48143	1.1173e-15	1.57397	0.999986	0.000871239	7.59078e-07	1.57949	1.14279e-15	1.73275	1.05942e-15	1.57734
913.905	38.1708	0.02	0.998292	0.000988757	1.44229e-06	2.35203	1.20415e-15	1.48001	1.19691e-15	1.57414	0.999985	0.000895253	8.015e-07	1.57973	1.22513e-15	1.73575	1.13553e-15	1.57757
936.137	39.125	0.0205	0.998292	0.00101406	1.47961e-06	2.33916	1.28895e-15	1.47865	1.281e-15	1.57433	0.999984	0.0009194	8.45323e-07	1.57997	1.3122e-15	1.73868	1.21598e-15	1.57781
958.411	40.0793	0.021	0.998291	0.0010394	1.51796e-06	2.32659	1.37874e-15	1.47735	1.37003e-15	1.57452	0.999983	0.000943686	8.90572e-07	1.58021	1.40438e-15	1.74154	1.30118e-15	1.57805
981.006	41.0336	0.0215	0.998291	0.00106479	1.55735e-06	2.31431	1.47361e-15	1.47609	1.46408e-15	1.57471	0.999982	0.000968114	9.37278e-07	1.58045	1.50185e-15	1.74432	1.39126e-15	1.57829
1003.2	41.9878	0.022	0.998291	0.00109022	1.59778e-06	2.3023	1.57379e-15	1.47489	1.56341e-15	1.57491	0.999981	0.00099269	9.85468e-07	1.5807	1.60485e-15	1.74705	1.48646e-15	1.57855
1025.45	42.9421	0.0225	0.99829	0.00111571	1.63926e-06	2.29058	1.67967e-15	1.47375	1.66837e-15	1.57512	0.99998	0.00101742	1.03517e-06	1.58095	1.71384e-15	1.74969	1.58721e-15	1.5788
1047.68	43.8964	0.023	0.99829	0.00114124	1.68181e-06	2.27912	1.79159e-15	1.47266	1.77931e-15	1.57534	0.999979	0.0010423	1.08643e-06	1.58119	1.82906e-15	1.75227	1.69373e-15	1.57906
1069.84	44.8506	0.0235	0.99829	0.00116682	1.72543e-06	2.26792	1.9098e-15	1.47163	1.8965e-15	1.57556	0.999978	0.00106734	1.13926e-06	1.58144	1.95086e-15	1.75478	1.80634e-15	1.57932
1091.97	45.8049	0.024	0.99829	0.00119245	1.77014e-06	2.25697	2.03475e-15	1.47065	2.02037e-15	1.57578	0.999977	0.00109255	1.19372e-06	1.58169	2.0796e-15	1.75722	1.92539e-15	1.57959
1114.14	46.7592	0.0245	0.998289	0.00121813	1.81593e-06	2.24627	2.16667e-15	1.46972	2.15115e-15	1.57602	0.999976	0.00111793	1.24982e-06	1.58195	2.2156e-15	1.75959	2.05121e-15	1.57987
